title,authors,year,url,abstract,venue,source
Review of Artificial Intelligence-Integrated Blockchain for Training Autonomous Vehicles,"Amit Kumar, Neha Sharma",2023,https://www.semanticscholar.org/paper/9fc57bba2ae8d8f7de192fc16a2a4b75018f9a99,"In the realm of autonomous vehicles, learning is achieved through reinforcement learning. To illustrate, let's consider the task of training a self-driving car to apply the brakes when it approaches a wall. Initially, the car continues to drive until it collides with the wall multiple times. These experiences are then stored in its memory, enabling the car to learn from them. Gradually, through these collisions, the car becomes aware that it must halt when it nears a wall. Traditionally, each car undergoes individual training until it learns to stop automatically and avoid collisions. However, a paradigm shift is proposed in this paper. Instead of isolated learning, each car would be connected to a shared public ledger. This ledger would serve as a platform for cars to exchange their experiences, enabling all vehicles connected to the ledger to learn from a single car's experiences. This collective learning approach eliminates the arduous task of individually training each car. Facilitating this revolutionary concept is the utilization of Blockchain Technology. By leveraging blockchain, cars can collectively enhance their understanding of when to stop, drawing from the valuable experiences shared on the shared ledger. This creates a collaborative ecosystem where knowledge is shared, accelerating the learning process and paving the way for safer and more efficient autonomous vehicles. The integration of Artificial Intelligence and Blockchain Technology in the context of autonomous vehicles holds immense promise. Through the implementation of an artificially intelligent blockchain system, the learning process of self-driving cars can be streamlined, fostering a future where shared knowledge propels advancements in technology and enhances overall safety on the roads. Experience the power of Artificial Intelligence integrated Blockchain, and unlock the full potential of autonomous vehicles.","2023 International Conference on Computing, Communication, and Intelligent Systems (ICCCIS)",Semantic Scholar
Artificial Intelligence Meets Flexible Sensors: Emerging Smart Flexible Sensing Systems Driven by Machine Learning and Artificial Synapses,"Tianming Sun, Bin Feng, Jinpeng Huo, Yu Xiao, Wengan Wang, Jin Peng, Zehua Li, Chengjie Du, Wenxian Wang, G. Zou, Lei Liu",2023,https://www.semanticscholar.org/paper/4c73eaac20d5a1326799645d24d6e111194ce230,,Nano-Micro Letters,Semantic Scholar
A Review on the Applications of Blockchain-Based Smart Contracts in the Smart Grid,"M. Saleh, Sunil P. Khatri, Ali Ghrayeb, S. Refaat",2024,https://www.semanticscholar.org/paper/317765fd39ee21fe8075082449fe3ae0d4d8fa95,"Investigations in industrial and computational research emphasize the progress of blockchain-enabled smart contracts due to their resilient features, which include decen-tralised transaction storage, autonomous contract regulation enforcement, and distributed trust creation. Blockchain-powered smart contracts can transform operational frameworks in various sectors aiming for superior service delivery. The advantages this technology brings involve a multitude of applications that span industries as cryptocurrencies, logistics systems, agricultural practices, real estate operations, and energy trading among others. Notably though one crucial emerging application is within smart grids (SG). The decentralization aspect of blockchain is one of the most significant leaps in computing for smart grids. The application of blockchain aligns with the vision of having a decentralized electric grid by distributing renewable energy sources. Therefore, numerous efforts are being conducted to examine the prospects for the relevance of smart contracts and blockchain to the smart grid system. To this end, this paper aims to review the essential elements of blockchain-based smart contracts to emphasize their current capabilities for enhancing the transition to a decentralized smart grid with proposals on future research directions.",2024 4th International Conference on Smart Grid and Renewable Energy (SGRE),Semantic Scholar
An Integrated Management of Change Program (MOC) for Oil and Gas Industry through Blockchain Technology and Smart Contracts.,Sandipan Laskar,2022,https://www.semanticscholar.org/paper/eb55f7f1ffaba732d5582813c22a6dc6365d642a,"
 New Technologies (blockchain, autonomous cars, artificial intelligence, and the internet of things) are revolutionizing industries such as finance, banking and transportation by improving efficiency and effectiveness in these businesses around the world. However, not much work is done on applying these technologies in the oil and gas industry. So, a tremendous opportunity exists to leverage these new technologies for possible applications in oil and gas. This paper explores the application of blockchain and smart contracts in managing an effective Management of Change (MOC) program and integrating it with operations to process real-time changes leading to faster and safer decision making. The paper is divided into two sections; the first provides an overview of the technology, and the second focuses on integrating smart contracts and blockchain technology to leverage the MOC program. This paper could be used to roll out new and improve existing MOC programs.
 The application of emerging technologies such as distributed ledger and smart contracts are still at the rudimentary level for oil and gas with few applications around trading and logistics. This paper unlocks the possible application in managing changes in the oil and gas, which will provide a solid platform for future innovations. The oil and gas industry are moving at a faster pace to achieve the next level of efficiency and effectiveness for sustainable growth, the key will remain in the early adoption of these emerging technologies for safer operation. The application mentioned in this paper will provide a company with an additional competitive advantage as they could effectively manage their data to make faster decisions; and achieve higher efficiency and safer operations simultaneously.","Day 1 Mon, October 31, 2022",Semantic Scholar
Real time Smart Contracts for IoT using Blockchain and Collaborative Intelligence based Dynamic Pricing for the next generation Smart Toll Application,"Misha Abraham, Himajit Aithal, K. Mohan",2020,https://www.semanticscholar.org/paper/e0a3d8273ddf083470a2391cd66ed64f85427451,"The confluence of Internet of Things(IoT) , Blockchain(BC) and Artificial Intelligence(AI) acts as a key accelerator for enabling Machine Economy. To be ready for future businesses these technologies needs to be adapted by extending the IoT capabilities to Economy of Things (EoT) capabilities. In this paper we focus on one such implementation experience for Smart Toll Transaction application in the domain of mobility. Our paper showcases a possible solution by leveraging negotiations, decision making, distributed learning capabilities at the devices level using AI-enabled Multi-Agent Systems and the real-time smart contracts between the Cars and Tolls using Blockchain. This solution also showcases the monetization of real time data coming from various IoT devices which are part of vehicles and infrastructure. While blockchain secures the privacy of the participants it also acts as an economic transactional layer and governance layer between the devices in the networ",arXiv.org,Semantic Scholar
SecureChainAI: Integrating Blockchain and Artificial Intelligence for Enhanced Security in IoT Environments,"K. ThamaraiSelvi, A. Pushpalatha, K. Chidambarathanu, Jaishri P. Wankhede, S. Alagumuthukrishnan, Velliangiri Sarveshwaran",2024,https://www.semanticscholar.org/paper/9f27d8c58fe0026cf8448a4778210739e8abe68e,"Internet of Things (IoT) systems develop with paramount importance for security in view of the increased deployment of IoT devices over critical sectors like healthcare, industry automation, and smart cities. The risk exposure of such systems is extremely high to potent cyber threats, including those that may result in data integrity and privacy issues and operational unreliability. Security in IoT systems has thus emerged through heterogeneous integration with blockchain and artificial intelligence models. This blockchain technology provides a decentralized, immutable ledger for secure data transactions. AI models, especially those designed by anomaly detection and prediction algorithms, can identify and mitigate cyber threats. In this paper, the authors propose the SecureChainAI model that synergistically integrates artificial intelligence algorithms with blockchain to safeguard IoT environments. The two core building blocks that will make this proposed model real are CaSNet and the EchoChain algorithm. The CaSNet model integrates LSTM, RNN, and GRU techniques with novelty detection for proficient attack prediction and detection using their peculiar capabilities in sequential data handling and the identification of novel attack patterns. The EchoChain algorithm puts blockchain technology into the IoT infrastructure to provide security in communication and integrity of the values. This makes the architecture lightweight, shifting computational loads to the collector node, and hence suitable for IoT devices with low computational resources. Evaluations of the performance necessary to detect different classes of cyberattacks using SecureChainAI have improved on the detection accuracy, precision, recall, f1-score, and reduced error rates.",2024 5th International Conference on Smart Electronics and Communication (ICOSEC),Semantic Scholar
Big Data and Artificial Intelligence on the Blockchain: A Review,Saad Abbas Abed,2023,https://www.semanticscholar.org/paper/7129f835a6d1de04a5ccc14138a780bf3a91f600,"As organizations seek to derive greater value from rapidly expanding datasets, they face challenges related to big data governance including security, privacy, regulatory compliance, access controls, and building trust across entities. Blockchain has emerged as a promising technology for managing and analyzing big data in a controlled, transparent manner through its decentralized architecture and cryptographic foundations. This paper explores how blockchain can enable more secure sharing of big data that mitigates systemic impediments to wider application. We first examine unique properties of blockchain technology that allow distrusting parties to collaborate through immutable records, consensus protocols, smart contracts, and permissions management. We then profile real-world use cases in sectors like healthcare, supply chain logistics, and financial services where blockchain strengthens big data usage. Finally, current scaling and architectural limitations are discussed along with an outlook on the remaining technology gaps and skills needed to fully bridge blockchain, distributed data, advanced analytics, and machine learning. The paper ultimately argues blockchain may profoundly expand big data’s capabilities but still requires further innovation across hardware infrastructure, platforms, analytics interfaces, and organizational strategy.",Babylonian Journal of Artificial Intelligence,Semantic Scholar
Smart Energy Distribution and Management System for Small Autonomous Photovoltaic Installations Using Artificial Intelligence,"Nirmalya Basu, Ajay Pal Singh, Md Nadeem Ahmed, Mohd Juned Haque, Ranjan Walia",2023,https://www.semanticscholar.org/paper/f1129569acb07e11d5717cacd9effa4224ec484d,"The depletion of traditional energy sources has increased the need for renewable energy sources like wind and solar electricity in today's globe. When paired with recent technical developments like artificial intelligence and neural networks, these sources offer a great deal of promise to supply the rising need for electricity. These technologies can lower energy costs and consumption through smart energy management systems.The depletion of traditional energy sources has increased the need for renewable energy sources like wind and solar electricity in today's globe. When paired with recent technical developments like artificial intelligence and neural networks, these sources offer a great deal of promise to supply the rising need for electricity. These technologies can lower energy costs and consumption through smart energy management systems.","2023 International Conference on Computational Intelligence, Communication Technology and Networking (CICTN)",Semantic Scholar
A blockchain‐ and artificial intelligence‐enabled smart IoT framework for sustainable city,"Imran Ahmed, Yulan Zhang, Gwanggil Jeon, Wenmin Lin, M. Khosravi, Lianyong Qi",2022,https://www.semanticscholar.org/paper/be8f43ae9270891d2afced21b282028c4a4b7e3e,"Advancements in digital technologies, such as the Internet of Things (IoT), fog/edge/cloud computing, and cyber‐physical systems have revolutionized a broad spectrum of smart city applications. The significant contributions and rapid developments of advanced artificial intelligence‐based technologies and approaches, like, machine learning and deep learning, which are applied for extracting accurate information from extensive data, perform a potential role in IoT applications. Moreover, blockchain technology's fast adoption also contributes a significant role in the development of the new digital smart city ecosystem. Thus, artificial intelligence and blockchain technology convergence revolutionize smart city infrastructures to establish sustainable ecosystems for IoT applications. Nevertheless, these advancements and technological improvements also provide both opportunities and challenges for developing sustainable IoT applications. This paper aims to examine the convergence of blockchain technology and artificial intelligence, a unique driver towards technological transformation in intelligent and sustainable IoT applications. We mainly discussed the advantages of blockchain technology that might promote the advancement and development of sustainable IoT applications. On the basis of the discussion, we introduced a smart and sustainable conceptual framework that leverages cloud computing, IoT devices, and artificial intelligence to process and obtain necessary information. The system provides digital analytics and saves results in decentralized cloud repositories through blockchain technology to promote various applications. Moreover, the layer‐based architecture allows a sustainable incentive structure, which can possibly assist secure and protected smart city applications. We reviewed the enhanced solutions, summing up the key points that can be applied for generating various artificial intelligence and blockchain‐based systems. Also, we discussed the issues that still remain open and our future research goals; that can introduce new ideas and future guidelines for sustainable IoT applications.",International Journal of Intelligent Systems,Semantic Scholar
Decentralised Autonomous Management of an Association Through Smart Contracts According to German Legislation,"M. Pohl, René Degenkolbe, D. Staegemann, K. Turowski",2023,https://www.semanticscholar.org/paper/86db323fb45536f6787d73afbacfd603e9b941d5,": A new emerging form of organisation, the decentralised autonomous organisation (DAO), built on blockchain technology and smart contracts, offers the potential for transforming social interaction. The basic regulations for running an association under German law indicate that transforming the traditional form of an association into a decentralised autonomous organisation is feasible. The main advantage comes from the automated execution of standard association management processes as well as the decentralised provision of IT infrastructure through a blockchain network. The advantages of the partially automated and decentralised administrative processes of an association are contrasted with further challenges of the social system of the future.",International Conference on Enterprise Information Systems,Semantic Scholar
Lifelong Testing of Smart Autonomous Systems by Shepherding a Swarm of Watchdog Artificial Intelligence Agents,"H. Abbass, John Harvey, Kate J. Yaxley",2018,https://www.semanticscholar.org/paper/b56f1dbdfb66b12f6c34856608af361eefa3f5ca,"Artificial Intelligence (AI) technologies could be broadly categorised into Analytics and Autonomy. Analytics focuses on algorithms offering perception, comprehension, and projection of knowledge gleaned from sensorial data. Autonomy revolves around decision making, and influencing and shaping the environment through action production. A smart autonomous system (SAS) combines analytics and autonomy to understand, learn, decide and act autonomously. To be useful, SAS must be trusted and that requires testing. Lifelong learning of a SAS compounds the testing process. In the remote chance that it is possible to fully test and certify the system pre-release, which is theoretically an undecidable problem, it is near impossible to predict the future behaviours that these systems, alone or collectively, will exhibit. While it may be feasible to severely restrict such systems\textquoteright \ learning abilities to limit the potential unpredictability of their behaviours, an undesirable consequence may be severely limiting their utility. In this paper, we propose the architecture for a watchdog AI (WAI) agent dedicated to lifelong functional testing of SAS. We further propose system specifications including a level of abstraction whereby humans shepherd a swarm of WAI agents to oversee an ecosystem made of humans and SAS. The discussion extends to the challenges, pros, and cons of the proposed concept.",arXiv.org,Semantic Scholar
Machine Learning for Blockchain and IoT Systems in Smart Cities: A Survey,"Elias Dritsas, M. Trigka",2024,https://www.semanticscholar.org/paper/c6f63724c6cb26dff4b5fecae3cf02e8c599d358,"The integration of machine learning (ML), blockchain, and the Internet of Things (IoT) in smart cities represents a pivotal advancement in urban innovation. This convergence addresses the complexities of modern urban environments by leveraging ML’s data analytics and predictive capabilities to enhance the intelligence of IoT systems, while blockchain provides a secure, decentralized framework that ensures data integrity and trust. The synergy of these technologies not only optimizes urban management but also fortifies security and privacy in increasingly connected cities. This survey explores the transformative potential of ML-driven blockchain-IoT ecosystems in enabling autonomous, resilient, and sustainable smart city infrastructure. It also discusses the challenges such as scalability, privacy, and ethical considerations, and outlines possible applications and future research directions that are critical for advancing smart city initiatives. Understanding these dynamics is essential for realizing the full potential of smart cities, where technology enhances not only efficiency but also urban sustainability and resilience.",Future Internet,Semantic Scholar
The Role of Artificial Intelligence and Blockchain for Future Cyber Threat Intelligence,"S. Pal, Zahra Jadidi, Poopak Alaeifar, Ernest Foo",2023,https://www.semanticscholar.org/paper/dc1e4962818a9097c2ba50e731003769446ceb5e,"Considering the rapid integration of smart technologies into our daily lives, the risk of cyber-attacks has increased and mitigating such risks in smart systems requires practical approaches. Cyber Threat Intelligence (CTI) has been considered a powerful technique for developing successful and mature proactive tools for cyber threat detection and mitigation. However, with evolving threat landscape, it has been crucial to develop and implement comprehensive, robust CTI solutions to ensure the security and resilience of interconnected smart systems. Recently, the two emerging technologies of artificial intelligence (AI) and blockchain have gained significant attention in the field of cybersecurity. AI and blockchain offer novel ways to improve security, privacy, and efficiency in different areas of cyber security. However, a lack of research on the integration of AI and blockchain in CTI is considered. In this paper, we propose the integration of AI and blockchain in CTI and assess their advantages and disadvantages to explore how AI and blockchain can enhance CTI. We also discuss the role of AI and blockchain across various phases of a CTI life cycle in a detailed manner.",International Conference on Information Control Systems & Technologies,Semantic Scholar
Learning Markets: An AI Collaboration Framework Based on Blockchain and Smart Contracts,"Liwei Ouyang, Yong Yuan, Feiyue Wang",2022,https://www.semanticscholar.org/paper/4930debdb86bc1828ccc391ed5d007ba8c0b0397,"Artificial intelligence (AI) has been witnessed to provide valuable solutions to all walks of life. However, data island and computing resources limitations in the centralized AI architectures have increased their technical barriers, and thus distributed AI collaboration in data, models, and resources has attracted intensive research interests. Since the existing trust-based collaboration models are no longer applicable for the large-scale distributed collaboration among trustless machines in open and dynamic environments, this article proposes a novel decentralized AI collaboration framework, i.e., learning markets (LM), in which blockchain provides a trustless environment for collaboration and transaction, while smart contracts serve as software-defined agents to encapsulate and process scalable collaboration relationships and market mechanisms. LM can not only help those participants without mutual trust realize collaborative mining with dynamic and quantitative rewards but also build an AI market with natural auditability and traceability for trading trusted and verified models. We implement and comprehensively analyze LM based on the Ethereum interplenary file system platform (IPFS), and the results prove that it has advantages in collaboration fairness, transparency, security, decentralization and universality. Based on our collaboration framework, distributed AI contributors are expected to cooperate and complete those learning tasks that cannot be done previously due to lack of complete data, sufficient computing resources and state-of-the-art models.",IEEE Internet of Things Journal,Semantic Scholar
Meta-Governance: Blockchain-Driven Metaverse Platform for Mitigating Misbehavior Using Smart Contract and AI,"Md Facklasur Rahaman, Mohtasin Golam, Md Raihan Subhan, Esmot Ara Tuli, Dong‐Seong Kim, Jae-Min Lee",2024,https://www.semanticscholar.org/paper/46013d8de7f4f96659ca55d7501b1c1bde1e968e,"The immersive metaverse environment offers distinct social interactions and opportunities, yet it also presents significant challenges in securely managing misbehavior, including hate speech, bullying, and harassment. Existing solutions primarily focus on detecting such behavior through artificial intelligence but lack robust mechanisms for management and governance. This gap is critical as the metaverse continues to mirror complex real-world interactions and centralized authority systems prove vulnerable to compromise. Our research introduces a novel framework, Meta-Governance, which not only detects but also effectively manages and governs user behavior through smart contracts, ensuring a secure, fair, and transparent metaverse environment. The system incorporates behavior monitoring to identify and condemn inappropriate behavior, specifically targeting problems such as hate speech and cyberbullying. Occurrences of misbehavior are permanently preserved on the blockchain to ensure the capacity to trace and bear accountability. In this article, we deploy a Natural Language Processing (NLP) model and a smart contract-based framework to address unusual behavior monitoring, access control, and credit scoring. Deep learning models are used to identify and classify linguistic patterns that may be considered hazardous. Blockchain technology addresses virtual misconduct using smart contracts, while a distinctive credit scoring mechanism ensures that users are held responsible for making disrespectful statements. The efficacy of the proposed smart contract is comprehensively evaluated within the context of a private Hyperledger Besu system. The integration of AI and blockchain may greatly improve the security and inclusiveness of the metaverse, highlighting the crucial role of these technologies in combating hate speech and enhancing user engagement.",IEEE Transactions on Network and Service Management,Semantic Scholar
Blockchain Technology and Artificial Intelligence Together: A Critical Review on Applications,Hamed Taherdoost,2022,https://www.semanticscholar.org/paper/56bcec5b91304a55caf68df3e175c1ef0c18b993,"It is undeniable that the adoption of blockchain- and artificial intelligence (AI)-based paradigms is proceeding at lightning speed. Both paradigms provide something new to the market, but the degree of novelty and complexity of each is different. In the age of digital money, blockchains may automate installments to allow for the safe, decentralized exchange of personal data, information, and logs. AI and blockchains are two of the most talked about technologies right now. Using a decentralized, secure, and trustworthy system, blockchain technology can automate bitcoin payments and provide users access to a shared ledger of records, transactions, and data. Through the use of smart contracts, a blockchain may also regulate user interactions without the need for a central authority. As an alternative, AI provides robots with the ability to reason and make decisions and human-level intellect. This revelation led to a thorough assessment of the AI and blockchain combo created between 2012 and 2022. This critical review contains 121 articles from the recent decade that investigate the present situation and rationale of the AI and blockchain combination. The integration’s practical application is the emphasis of this overview’s meatiest portion. In addition, the gaps and problems of this combination in the linked literature have been studied, with a focus on the constraints.",Applied Sciences,Semantic Scholar
IoT Based Smart Systems using Artificial Intelligence and Machine Learning: Accessible and Intelligent Solutions,"B. Ahmed, M. Shuja, Hari Mohan Mishra, Ahmed Qtaishat, Mukesh Kumar",2023,https://www.semanticscholar.org/paper/de41d128db7a51398c8a88dcc1c2bed5e3995c2b,"The Internet of Things (IoT) has grown in importance in both the technological and social spheres as consumers want smarter homes, more efficient businesses, and more efficient healthcare systems. The social setting is very important for this. Communication networks provide uninterrupted internet connectivity for both fixed and mobile devices like PCs and smartphones. Customers may now keep up their level of engagement while interacting with one or more apps at any time and from any location, thanks to developments in information and communication technologies. Many kinds of smart devices might potentially coordinate their responses to events, sending out alerts or keeping records of the system’s condition in line with a predetermined policy. Constant progress toward intelligent solutions is improving many facets of modern life, including manufacturing, transportation, electronic healthcare, electronic education, and many more. Machine-to-machine (M2M) communication in the IoT is autonomous and dynamic. Diverse approaches are being developed to address the challenges posed by disparate data sources, fluctuating signal quality, and overwhelming quantities of data. From the perspectives of intelligent system technologies, security, vulnerabilities, and the potential role that intelligent solutions based on Machine Learning (ML) and Artificial Intelligence (AI) may play, this article examines the IoT. Concerns about privacy and safety have arisen as a major obstacle to the widespread adoption of the Internet of Things (IoT). We propose that the Standard Security Framework (SSF) be made mandatory for all distributed networks to ensure that hardware and software modules may communicate with one another regardless of their respective platforms. In addition, the effectiveness and security of new innovations in using fog and edge computing in conjunction with cloud applications have been studied.",2023 6th International Conference on Information Systems and Computer Networks (ISCON),Semantic Scholar
Bridging the Legal Divide: Contractual Enforceability and Acceptability in the AI-Driven Automated Conversion of Smart Legal Contracts,"Shriyaa Balaji, Ram Dantu, Kritagya Upadhyay, Thomas McCullough",2024,https://www.semanticscholar.org/paper/53eb16fb11a498716a0356faa31620f2275e1958,"Many people find the legal system to be convoluted and resource-intensive with all of the complications, which often derive from the vagueness and ambiguity of legal texts, that arise in its processes. Oftentimes, legal processes become inconvenient or even inaccessible to parts of the general population. The integration of artificial intelligence (AI) and blockchain technology into legal processes, particularly in the interpretation of contract transactions, promises to revolutionize the legal field by enhancing efficiency and reducing human intervention. The conversion of legal contracts into smart contracts specifically has the power to make legal transactions auto-executable and instantaneous. However, this convergence introduces a significant challenge in how to automate the process of converting a legal contract, written in text, into a smart contract, written in code. This paper presents a comprehensive evaluation of how artificial intelligence can achieve complete automation of this conversion by generating legal contract interpretations and employing a dual-framework analysis based on the metrics of Enforceability and Acceptability. Through an in-depth examination of the opinions of legal professionals and AI-generated contract interpretations, we explore the extent to which AI can reliably interpret the vagueness and ambiguity in legal texts through interpretations and translate legal language into smart contract code while adhering to legal standards and ethical considerations. This paper contributes to the ongoing discourse on the role of AI and smart contracts in law, proposing a strategy to make the legal system more accessible and offering insights for legal practitioners, AI developers, and policymakers on navigating the complexities of AI-driven legal interpretations.","International Conference on Trust, Privacy and Security in Intelligent Systems and Applications",Semantic Scholar
Artificial Neural Networks as Artificial Intelligence Technique for Energy Saving in Refrigeration Systems—A Review,"Mario Pérez-Gomariz, A. López-Gómez, Fernando Cerdán-Cartagena",2023,https://www.semanticscholar.org/paper/fddfe07a34516f59fe7e82cd4f8fb8fe2e061c73,"The refrigeration industry is an energy-intensive sector. Increasing the efficiency of industrial refrigeration systems is crucial for reducing production costs and minimizing CO2 emissions. Optimization of refrigeration systems is often a complex and time-consuming problem. This is where technologies such as big data and artificial intelligence play an important role. Nowadays, smart sensorization and the development of IoT (Internet of Things) make the massive connection of all kinds of devices possible, thereby enabling a new way of data acquisition. In this scenario, refrigeration systems can be measured comprehensively by acquiring large volumes of data in real-time. Then, artificial neural network (ANN) models can use the data to drive autonomous decision-making to build more efficient refrigeration systems.",Clean Technology,Semantic Scholar
Intelligent Prevention of DDoS Attacks using Reinforcement Learning and Smart Contracts,"Emily Struble, Maikel Leon, Erotokritos Skordilis",2024,https://www.semanticscholar.org/paper/886c85735e417b49a8cb6fb95a264709afbe5bfc,"(Distributed) Denial-of-Service (DoS/DDoS) attacks are among the most dangerous cybersecurity threats to computer networks. Lately, blockchain and artificial intelligence (AI) cyberdefense applications have successfully been implemented to identify attack patterns. This paper proposes a novel collaborative, blockchain-based multi-agent reinforcement learning (RL) cyberdefense method using smart contracts. Initial numerical experiments have shown that the agents quickly learn to predict attacks, which can lead to mitigating network-wide service disruptions.",The Florida AI Research Society,Semantic Scholar
From cadCAD to casCAD2: A Mechanism Validation and Verification System for Decentralized Autonomous Organizations Based on Parallel Intelligence,"Xiaolong Liang, Wenwen Ding, Rui Qin, Jiachen Hou, Yong Yuan, Xiao Wang, Fei Wang",2024,https://www.semanticscholar.org/paper/ea8e39cdac64f56fa4f81cece6a266b967393b2b,"The governance technology of decentralized autonomous organizations (DAOs) provides an effective solution for solving existing organizational management issues. Governance mechanisms of DAOs are usually encoded in smart contracts in the form of rule sets and executed automatically. However, the mechanism’s logical flaws and code errors expose DAOs to unpredictable risks. Complex adaptive dynamics computer-aided design (CadCAD) can test the effectiveness of the mechanisms through simulation. Nonetheless, as DAOs are typical complex systems with social and engineering complexity, managing, controlling, and supervising their operation through traditional methods are difficult. The parallel intelligence theory based on artificial societies, computational experiments, and parallel execution (ACP) method provides an effective research framework and practical method for solving DAOs’ governance issues. Therefore, in this article, we propose a parallel mechanism verification method and execution system, namely, complex adaptive systems for computer-aided dynamic design (casCAD2) as an extension of cadCAD. Leveraging parallel intelligence and cyber–physical–social systems (CPSS), casCAD2 is capable of probing into the laws that govern system evolution within a simulated environment. It serves as a robust tool for verifying the efficacy of DAOs’ mechanisms and predicting their potential risks. We also build a parallel market-based anchoring mechanism (MAM) system to demonstrate how it can be used for DAOs’ mechanism verification. This study can provide a new research method and application system for DAOs’ effective governance.",IEEE Transactions on Computational Social Systems,Semantic Scholar
Artificial Identification: A Novel Privacy Framework for Federated Learning Based on Blockchain,"Liwei Ouyang, Fei-Yue Wang, Yonglin Tian, Xiaofeng Jia, Hongwei Qi, Ge Wang",2023,https://www.semanticscholar.org/paper/ccffd8dfdd954945e96b7f483e9ff736f85a550d,"To provide off-chain federations with complete privacy services to realize on-chain federated learning (FL), this article proposes a novel privacy framework for FL based on blockchain and smart contracts, named Artificial Identification. It consists of two modules: private peer-to-peer identification and private FL, using two scalable smart contracts to manage the identification and learning process, respectively. Based on Ethereum and interplenary file systems (IPFS), we implement our framework and comprehensively analyze its performance. Experiments show that the proposed framework has acceptable collaboration costs and offers advantages in terms of privacy, security, and decentralization. Furthermore, combined with radio frequency identification (RFID) technology, the framework has the potential to realize automatic on-chain identification and autonomous FL of machine clusters composed of Internet of Things (IoT) devices or distributed participants.",IEEE Transactions on Computational Social Systems,Semantic Scholar
"Blockchain and artificial intelligence for 5G‐enabled Internet of Things: Challenges, opportunities, and solutions","A. Dwivedi, Rajani Singh, Keshav Kaushik, R. Mukkamala, Waleed S. Alnumay",2021,https://www.semanticscholar.org/paper/aa8e236b94337671c02e290e3ee85867a244b089,"Internet of Things (IoT) has revolutionized the digital world by connecting billions of electronic devices over the internet. IoT devices play an essential role in the modern era when conventional devices become more autonomous and smart. On the one hand, high‐speed data transfer is a major issue where the 5G‐enabled environment plays an important role. On the other hand, these IoT devices transfer the data by using protocols based on centralized architecture and may cause several security issues for the data. Merging artificial intelligence to 5G wireless systems solves several issues such as autonomous robots, self‐driving vehicles, virtual reality, and engender security problems. Building trust among the network users without trusting third party authorities is the system's primary concern. Blockchain emerged as a key technology based on a distributed ledger to maintain the network's event logs. Blockchain provides a secure, decentralized, and trustless environment for IoT devices. However, integrating IoT and blockchain also has several challenges; for example, major challenge is low throughput. Currently, the ethereum blockchain network can process approximately 12 to 15 transactions per second, while IoT devices require relatively higher throughput. Therefore, blockchains are incapable of providing functionality for a 5G‐enabled IoT based network. The limiting factor of throughput in the blockchain is their network. The slow propagation of transactions and blocks in the P2P network does not allow miners and verifiers to fastly mine and verify new blocks, respectively. Therefore, network scalability is the major issue of IoT based blockchains. In this work, we solved the network scalability issue using blockchain distributed network while to increase the throughput of blockchain, this article uses the Raft consensus algorithm. Another most important issue with IoT networks is privacy. Unfortunately, the blockchain distributed ledgers are public and sensitive information is available on the network for everyone are private, but in such cases, third party editing is not possible without revealing the original contents. To solve privacy issues, we used zkLedger as a solution that is based on zero knowledge‐based cryptography.",Transactions on Emerging Telecommunications Technologies,Semantic Scholar
Integrating Artificial Intelligence for Smart and Adaptive Information Systems,"Y. Widodo, Rano Agustino",2025,https://www.semanticscholar.org/paper/dd828b6ed03830ad55923bc86550d8c218cb4ba0,"The integration of Artificial Intelligence (AI) in information systems has revolutionized the way organizations process, manage, and utilize data. AI-driven information systems are becoming more adaptive, intelligent, and capable of autonomous decision-making, enabling businesses to improve efficiency and responsiveness. This study explores the various techniques and technologies used to integrate AI into information systems, including machine learning, natural language processing, and expert systems. It also examines the benefits of AI-enhanced systems, such as improved data analysis, automation, and predictive capabilities. However, challenges such as data privacy, ethical concerns, and system complexity must be addressed to ensure effective implementation. This study employs a literature review, case studies, and system analysis. By analyzing current trends and case studies, this research provides insights into the future direction of AI-driven information systems and their potential impact on industries. Traditional information systems were primarily designed for data management and process automation, but the integration of AI has enabled these systems to perform complex decision-making, predictive analytics, and autonomous operations.The future of AI in information systems lies in the advancement of explainable AI (XAI), federated learning, and AI governance frameworks. As AI continues to evolve, integrating ethical AI principles and ensuring regulatory compliance will be essential for sustainable adoption. Interdisciplinary collaboration between AI researchers, policymakers, and industry experts is crucial for addressing ethical and regulatory challenges.",Journal of Information Systems Engineering & Management,Semantic Scholar
